DataKey,label,(times),DATE,SPAD,LAI,oldTotEarNum,totEarWeight,totEarNum,totalSeedNum,totalSeedWeightBeforeDry,totalSeedWeightAfterDry
202504040926_26,26,4,4/4/2025,51.7,,407,1048.12,459,13984,534.9,534.9
202504040926_27,27,4,4/4/2025,52.3,,424,658.45,288,9040,332.1,332.1
202504040926_28,28,4,4/4/2025,49.5,,419,1048.12,459,14474,6147,6147
202504040926_29,29,4,4/4/2025,49.4,,518,1170,512,18380,741.1,741.1
202504040926_30,30,4,4/4/2025,49.3,,488,1157.54,507,9398,334.6,334.6
202504040926_31,31,4,4/4/2025,42.7,,340,798.88,350,11297,519.6,519.6
202504040926_32,32,4,4/4/2025,50.0,,459,828.36,362,12643,517.2,517.2
202504040926_33,33,4,4/4/2025,49.3,,448,648.27,284,10003,400,400
202504040926_34,34,4,4/4/2025,50.2,,311,637.96,279,8979,332.6,332.6
202504040926_35,35,4,4/4/2025,49.4,,397,845.38,370,13305,499.3,499.3
202504040926_36,36,4,4/4/2025,47.7,,367,594.23,260,9285,332.5,332.5
202504040926_37,37,4,4/4/2025,47.9,,312,698.66,306,9013,375.9,375.9
202504040926_38,38,4,4/4/2025,50.6,,391,591.29,259,9243,381,381
202504040926_39,39,4,4/4/2025,51.2,,245,567.4,248,18379,723.5,723.5
202504040926_40,40,4,4/4/2025,47.9,,309,841.91,368,9991,411,411
202504040926_41,41,4,4/4/2025,42.8,,397,1124.94,492,11808,484.4,484.4
202504040926_42,42,4,4/4/2025,49.3,,209,514.68,225,7241,270.8,270.8
202504040926_43,43,4,4/4/2025,51.1,,413,798.73,350,11845,473.8,473.8
202504040926_44,44,4,4/4/2025,50.1,,212,461.12,202,7199,276.2,276.2
202504040926_45,45,4,4/4/2025,50.7,,453,668.91,293,18130,728.9,728.9
202504040926_46,46,4,4/4/2025,48.6,,357,706.24,309,10792,376.7,376.7
202504040926_47,47,4,4/4/2025,48.7,,360,968.87,424,14939,561.7,561.7
202504040926_48,48,4,4/4/2025,51.3,,287,790,346,13025,504.3,504.3
202504040926_49,49,4,4/4/2025,48.8,,321,867,379,12236,483.9,483.9
202504040926_50,50,4,4/4/2025,46.1,,288,985.59,431,14786,586.9,586.9
202504040926_51,51,4,4/4/2025,47.0,,420,957.22,419,14298,556.5,556.5
202504040926_52,52,4,4/4/2025,45.7,,369,791.43,346,9911,402.8,402.8
202504040926_53,53,4,4/4/2025,48.0,,409,823.26,360,11703,477,477
202504040926_54,54,4,4/4/2025,49.7,,343,733.45,321,11065,428.4,428.4
202504040926_55,55,4,4/4/2025,44.1,,373,737.68,323,12514,528.2,528.2
202504040926_56,56,4,4/4/2025,49.1,,330,874.83,383,11094,456.3,456.3
202504040926_57,57,4,4/4/2025,52.3,,342,894.64,391,13015,511.6,511.6
202504040926_58,58,4,4/4/2025,53.1,,283,940.89,412,15276,620.4,620.4
202504040926_59,59,4,4/4/2025,50.0,,390,583.37,255,8387,340.8,340.8
202504040926_60,60,4,4/4/2025,50.4,,319,964.19,422,15682,634.4,634.4
202504080849_1,1,5,8/4/2025,46.1,,594,978.48,428,14332,509.1,509.1
202504080849_2,2,5,8/4/2025,49.6,,442,752.59,329,12649,455.2,455.2
202504080849_3,3,5,8/4/2025,49.0,,340,724.59,317,8320,271.5,271.5
202504080849_4,4,5,8/4/2025,48.1,,436,865.89,379,12101,439.2,439.2
202504080849_5,5,5,8/4/2025,51.9,,438,986.5,432,16232,568.8,568.8
202504080849_6,6,5,8/4/2025,49.3,,541,1200.58,525,18793,665.4,665.4
202504080849_7,7,5,8/4/2025,49.6,,322,737.74,323,18140,642.7,642.7
202504080849_8,8,5,8/4/2025,46.1,,452,1029.47,450,11306,375.9,375.9
202504080849_9,9,5,8/4/2025,44.6,,560,1186.72,519,8326,295.2,295.2
202504080849_10,10,5,8/4/2025,49.5,,487,938.33,411,14029,518.5,518.5
202504080849_11,11,5,8/4/2025,50.3,,437,1334.87,584,19844,774,774
202504080849_12,12,5,8/4/2025,46.9,,446,828.36,362,12197,441.9,441.9
202504080849_13,13,5,8/4/2025,49.2,,390,972.23,425,15863,569,569
202504080849_14,14,5,8/4/2025,48.9,,371,1076.89,471,16373,639.9,639.9
202504080849_15,15,5,8/4/2025,52.0,,530,1380.04,604,18955,795.1,795.1
202504080849_16,16,5,8/4/2025,48.2,,325,760,333,11706,466.3,466.3
